,Date,Symbol,LGBM_Prob_5.0%hit,Adj Close,Capitalization,Industry,Invest_Amount,Shares
17955,2019-12-27,SUPPETRO,0.0999433374950665,150.88943481445312,SMALLCAP,CHEMICALS,19988.6674990133,132.0
17956,2019-12-27,BLUEDART,0.09978079765962951,2225.550048828125,SMALLCAP,SERVICES,19956.159531925903,9.0
17957,2019-12-27,ALOKINDS,0.09962276647524129,2.8499999046325684,SMALLCAP,TEXTILES,19924.55329504826,6991.0
17958,2019-12-27,NAVINFLUOR,0.09961953785884567,1010.3590698242188,MIDCAP,CHEMICALS,19923.907571769134,20.0
17959,2019-12-27,SRF,0.0996020620926014,3410.5029296875,MIDCAP,INDUSTRIAL MANUFACTURING,19920.41241852028,6.0
17940,2019-12-26,SUPPETRO,0.10040607771909343,148.1548614501953,SMALLCAP,CHEMICALS,20081.215543818686,136.0
17941,2019-12-26,POLYPLEX,0.10028757942683547,464.3888854980469,SMALLCAP,INDUSTRIAL MANUFACTURING,20057.515885367095,43.0
17942,2019-12-26,GRANULES,0.10028701132465179,122.3177261352539,SMALLCAP,PHARMA,20057.40226493036,164.0
17943,2019-12-26,ALOKINDS,0.10022377048624467,2.75,SMALLCAP,TEXTILES,20044.754097248933,7289.0
17944,2019-12-26,RCF,0.1000796618942774,46.20000076293945,SMALLCAP,FERTILISERS & PESTICIDES,20015.93237885548,433.0
17945,2019-12-26,JSLHISAR,0.09999433083632289,67.94999694824219,SMALLCAP,METALS,19998.86616726458,294.0
17946,2019-12-26,MINDTREE,0.09969867286000998,779.8450927734375,MIDCAP,IT,19939.734572001995,26.0
17947,2019-12-26,GUJGASLTD,0.09969483685630619,222.5834197998047,MIDCAP,OIL & GAS,19938.96737126124,90.0
17948,2019-12-26,BLUEDART,0.09968201353088825,2177.050048828125,SMALLCAP,SERVICES,19936.40270617765,9.0
17949,2019-12-26,RALLIS,0.09964604506537003,167.06732177734375,SMALLCAP,FERTILISERS & PESTICIDES,19929.209013074007,119.0
17930,2019-12-24,POLYPLEX,0.10067706130916652,451.4210815429688,SMALLCAP,INDUSTRIAL MANUFACTURING,20135.412261833306,45.0
17931,2019-12-24,SWARAJENG,0.10030817143663247,1051.6973876953123,SMALLCAP,INDUSTRIAL MANUFACTURING,20061.634287326495,19.0
17932,2019-12-24,ADANIGREEN,0.10019715790925063,148.89999389648438,LARGE,POWER,20039.431581850127,135.0
17933,2019-12-24,BAJAJELEC,0.10010817289666889,328.42498779296875,SMALLCAP,CONSUMER GOODS,20021.63457933378,61.0
17934,2019-12-24,JSLHISAR,0.1000761126122231,67.15000152587889,SMALLCAP,METALS,20015.22252244462,298.0
17935,2019-12-24,NAVINFLUOR,0.09995110360495414,1000.836669921875,MIDCAP,CHEMICALS,19990.22072099083,20.0
17936,2019-12-24,CHENNPETRO,0.09986770397002588,111.9000015258789,SMALLCAP,OIL & GAS,19973.540794005177,178.0
17937,2019-12-24,AEGISCHEM,0.09980992484206212,170.71128845214844,SMALLCAP,OIL & GAS,19961.984968412424,117.0
17938,2019-12-24,GMMPFAUDLR,0.09955516573104523,1869.85009765625,SMALLCAP,INDUSTRIAL MANUFACTURING,19911.033146209043,11.0
17939,2019-12-24,WOCKPHARMA,0.09944942568797091,244.5,SMALLCAP,PHARMA,19889.88513759418,81.0
17920,2019-12-23,ADANIGREEN,0.10067536815474265,141.85000610351562,LARGE,POWER,20135.07363094853,142.0
17921,2019-12-23,GUJGASLTD,0.10041499082790399,224.9232482910156,MIDCAP,OIL & GAS,20082.998165580797,89.0
17922,2019-12-23,POLYPLEX,0.10024804510255049,451.3739318847656,SMALLCAP,INDUSTRIAL MANUFACTURING,20049.6090205101,44.0
17923,2019-12-23,BAYERCROP,0.09997099849256603,3517.538330078125,MIDCAP,FERTILISERS & PESTICIDES,19994.199698513206,6.0
17924,2019-12-23,AEGISCHEM,0.09993723472766675,167.0411376953125,SMALLCAP,OIL & GAS,19987.44694553335,120.0
17925,2019-12-23,GRANULES,0.09989609708826365,126.54759979248048,SMALLCAP,PHARMA,19979.21941765273,158.0
17926,2019-12-23,JSLHISAR,0.09982791023022138,66.94999694824219,SMALLCAP,METALS,19965.582046044274,298.0
17927,2019-12-23,NAVINFLUOR,0.09976735521071331,981.2960815429688,MIDCAP,CHEMICALS,19953.47104214266,20.0
17928,2019-12-23,BAJAJELEC,0.09966975125385989,328.7669982910156,SMALLCAP,CONSUMER GOODS,19933.950250771977,61.0
17929,2019-12-23,SRF,0.09959224891151178,3347.09423828125,MIDCAP,INDUSTRIAL MANUFACTURING,19918.449782302356,6.0
17910,2019-12-20,ADANIGREEN,0.10080781303943177,135.10000610351562,LARGE,POWER,20161.562607886353,149.0
17911,2019-12-20,POLYPLEX,0.10035314764755231,452.3170166015625,SMALLCAP,INDUSTRIAL MANUFACTURING,20070.62952951046,44.0
17912,2019-12-20,SWARAJENG,0.10019988478271752,1066.343505859375,SMALLCAP,INDUSTRIAL MANUFACTURING,20039.976956543505,19.0
17913,2019-12-20,JSLHISAR,0.09997741757929098,67.75,SMALLCAP,METALS,19995.483515858195,295.0
17914,2019-12-20,RATNAMANI,0.09994805786707076,1001.2197875976562,SMALLCAP,METALS,19989.61157341415,20.0
17915,2019-12-20,HSCL,0.09991901236904797,56.6903076171875,SMALLCAP,CHEMICALS,19983.802473809596,353.0
17916,2019-12-20,GUJGASLTD,0.09977559339391921,227.4622344970703,MIDCAP,OIL & GAS,19955.11867878384,88.0
17917,2019-12-20,AARTIDRUGS,0.09976988844094438,126.7753677368164,SMALLCAP,PHARMA,19953.977688188876,157.0
17918,2019-12-20,BHARTIARTL,0.09962554080762849,452.1762390136719,LARGE,TELECOM,19925.1081615257,44.0
17919,2019-12-20,INDOCO,0.09962364407239652,171.42605590820312,SMALLCAP,PHARMA,19924.728814479302,116.0
17900,2019-12-19,ADANIGREEN,0.10087912265648552,134.25,LARGE,POWER,20175.824531297105,150.0
17901,2019-12-19,RATNAMANI,0.1003151860525228,995.3264770507812,SMALLCAP,METALS,20063.03721050456,20.0
17902,2019-12-19,POLYPLEX,0.10030920099930442,452.3641662597656,SMALLCAP,INDUSTRIAL MANUFACTURING,20061.840199860882,44.0
17903,2019-12-19,HSCL,0.10015912529113137,58.23595809936523,SMALLCAP,CHEMICALS,20031.825058226274,344.0
17904,2019-12-19,ALKYLAMINE,0.09986439051741562,1075.900146484375,SMALLCAP,CHEMICALS,19972.878103483123,19.0
17905,2019-12-19,BHARTIARTL,0.09985470678663153,447.8418273925781,LARGE,TELECOM,19970.941357326305,45.0
17906,2019-12-19,RCF,0.0997832655495712,45.29999923706055,SMALLCAP,FERTILISERS & PESTICIDES,19956.65310991424,441.0
17907,2019-12-19,NATCOPHARM,0.09972245079218076,573.328369140625,MIDCAP,PHARMA,19944.49015843615,35.0
17908,2019-12-19,GAEL,0.09963729296643684,65.65438842773439,SMALLCAP,CONSUMER GOODS,19927.458593287367,304.0
